DAE-21 AIRFOIL
1.00000  0.00000
0.98671  0.00242
0.97036  0.00549
0.94769  0.01008
0.91770  0.01674
0.88729  0.02412
0.85716  0.03196
0.82686  0.04028
0.79626  0.04898
0.76528  0.05793
0.73418  0.06691
0.70335  0.07562
0.67287  0.08385
0.64272  0.09143
0.61283  0.09819
0.58318  0.10413
0.55374  0.10922
0.52445  0.11348
0.49524  0.11690
0.46604  0.11952
0.43679  0.12136
0.40750  0.12242
0.37822  0.12269
0.34898  0.12216
0.31983  0.12081
0.29083  0.11861
0.26204  0.11556
0.23355  0.11162
0.20546  0.10679
0.17791  0.10102
0.15108  0.09428
0.12517  0.08654
0.10044  0.07781
0.07731  0.06813
0.05632  0.05767
0.03817  0.04674
0.02355  0.03586
0.01284  0.02570
0.00587  0.01683
0.00195  0.00941
0.00000  0.00000
0.00075 -0.00516
0.00217 -0.00801
0.00437 -0.01024
0.00780 -0.01206
0.01365 -0.01352
0.02426 -0.01461
0.04167 -0.01502
0.06597 -0.01440
0.09456 -0.01300
0.12527 -0.01106
0.15691 -0.00885
0.18902 -0.00649
0.22138 -0.00409
0.25371 -0.00171
0.28594  0.00061
0.31810  0.00285
0.35018  0.00499
0.38219  0.00702
0.41412  0.00890
0.44598  0.01061
0.47776  0.01214
0.50947  0.01345
0.54112  0.01452
0.57276  0.01534
0.60436  0.01591
0.63594  0.01623
0.66751  0.01627
0.69907  0.01604
0.73062  0.01556
0.76213  0.01480
0.79360  0.01376
0.82505  0.01242
0.85654  0.01078
0.88823  0.00884
0.92004  0.00663
0.94850  0.00445
0.97023  0.00264
0.98657  0.00120
1.00000  0.00000
