OAF102 AIRFOIL
1.00000  0.00495
0.99901  0.00507
0.99606  0.00544
0.99114  0.00608
0.98429  0.00701
0.97553  0.00827
0.96489  0.00987
0.95241  0.01185
0.93815  0.01420
0.92216  0.01692
0.90451  0.01998
0.88526  0.02336
0.86448  0.02702
0.84227  0.03089
0.81871  0.03494
0.79389  0.03912
0.76791  0.04340
0.74088  0.04772
0.71289  0.05204
0.68406  0.05633
0.65451  0.06050
0.62435  0.06449
0.59369  0.06821
0.56267  0.07155
0.53139  0.07441
0.50000  0.07671
0.46860  0.07840
0.43733  0.07949
0.40631  0.08010
0.37566  0.08000
0.34549  0.07929
0.31594  0.07798
0.28711  0.07608
0.25912  0.07364
0.23209  0.07072
0.20611  0.06739
0.18129  0.06370
0.15773  0.05971
0.13552  0.05548
0.11474  0.05105
0.09549  0.04648
0.07784  0.04181
0.06185  0.03710
0.04759  0.03239
0.03511  0.02769
0.02447  0.02302
0.01571  0.01839
0.00886  0.01379
0.00394  0.00920
0.00099  0.00461
0.00000  0.00000
0.00099 -0.00414
0.00394 -0.00818
0.00886 -0.01208
0.01571 -0.01576
0.02447 -0.01919
0.03511 -0.02233
0.04759 -0.02515
0.06185 -0.02762
0.07784 -0.02965
0.09549 -0.03121
0.11474 -0.03227
0.13552 -0.03285
0.15773 -0.03290
0.18129 -0.03225
0.20611 -0.03122
0.23209 -0.02977
0.25912 -0.02790
0.28711 -0.02562
0.31594 -0.02299
0.34549 -0.02006
0.37566 -0.01694
0.40631 -0.01372
0.43733 -0.01050
0.46860 -0.00739
0.50000 -0.00447
0.53139 -0.00182
0.56267  0.00052
0.59369  0.00252
0.62435  0.00417
0.65451  0.00548
0.68406  0.00646
0.71289  0.00715
0.74088  0.00758
0.76791  0.00776
0.79389  0.00773
0.81871  0.00750
0.84227  0.00708
0.86448  0.00647
0.88526  0.00568
0.90451  0.00472
0.92216  0.00361
0.93815  0.00239
0.95241  0.00109
0.96489 -0.00023
0.97553 -0.00151
0.98429 -0.00268
0.99114 -0.00367
0.99606 -0.00443
0.99901 -0.00491
1.00000 -0.00507
