OAF095 AIRFOIL
1.00000  0.00017
0.99901  0.00032
0.99606  0.00076
0.99114  0.00151
0.98429  0.00260
0.97553  0.00404
0.96489  0.00587
0.95241  0.00808
0.93815  0.01069
0.92216  0.01369
0.90451  0.01704
0.88526  0.02072
0.86448  0.02466
0.84227  0.02881
0.81871  0.03311
0.79389  0.03750
0.76791  0.04191
0.74088  0.04628
0.71289  0.05057
0.68406  0.05473
0.65451  0.05869
0.62435  0.06241
0.59369  0.06584
0.56267  0.06891
0.53139  0.07157
0.50000  0.07377
0.46860  0.07549
0.43733  0.07670
0.40631  0.07747
0.37566  0.07753
0.34549  0.07700
0.31594  0.07599
0.28711  0.07449
0.25912  0.07252
0.23209  0.07013
0.20611  0.06736
0.18129  0.06424
0.15773  0.06080
0.13552  0.05705
0.11474  0.05304
0.09549  0.04878
0.07784  0.04432
0.06185  0.03968
0.04759  0.03492
0.03511  0.03007
0.02447  0.02515
0.01571  0.02018
0.00886  0.01518
0.00394  0.01014
0.00099  0.00509
0.00000  0.00000
0.00099 -0.00438
0.00394 -0.00870
0.00886 -0.01281
0.01571 -0.01659
0.02447 -0.01997
0.03511 -0.02293
0.04759 -0.02547
0.06185 -0.02753
0.07784 -0.02902
0.09549 -0.02997
0.11474 -0.03040
0.13552 -0.03026
0.15773 -0.02947
0.18129 -0.02828
0.20611 -0.02666
0.23209 -0.02464
0.25912 -0.02224
0.28711 -0.01952
0.31594 -0.01654
0.34549 -0.01340
0.37566 -0.01017
0.40631 -0.00695
0.43733 -0.00383
0.46860 -0.00089
0.50000  0.00182
0.53139  0.00423
0.56267  0.00632
0.59369  0.00806
0.62435  0.00946
0.65451  0.01051
0.68406  0.01124
0.71289  0.01166
0.74088  0.01180
0.76791  0.01167
0.79389  0.01130
0.81871  0.01070
0.84227  0.00989
0.86448  0.00889
0.88526  0.00770
0.90451  0.00637
0.92216  0.00492
0.93815  0.00338
0.95241  0.00183
0.96489  0.00030
0.97553 -0.00114
0.98429 -0.00243
0.99114 -0.00350
0.99606 -0.00431
0.99901 -0.00481
1.00000 -0.00498
