OAF139 AIRFOIL
1.00000  0.00492
0.99901  0.00488
0.99606  0.00476
0.99114  0.00458
0.98429  0.00436
0.97553  0.00415
0.96489  0.00399
0.95241  0.00390
0.93815  0.00394
0.92216  0.00414
0.90451  0.00452
0.88526  0.00512
0.86448  0.00595
0.84227  0.00700
0.81871  0.00830
0.79389  0.00983
0.76791  0.01159
0.74088  0.01357
0.71289  0.01577
0.68406  0.01818
0.65451  0.02078
0.62435  0.02357
0.59369  0.02654
0.56267  0.02966
0.53139  0.03289
0.50000  0.03621
0.46860  0.03955
0.43733  0.04286
0.40631  0.04606
0.37566  0.04908
0.34549  0.05183
0.31594  0.05423
0.28711  0.05621
0.25912  0.05769
0.23209  0.05862
0.20611  0.05898
0.18129  0.05879
0.15773  0.05810
0.13552  0.05672
0.11474  0.05470
0.09549  0.05212
0.07784  0.04898
0.06185  0.04526
0.04759  0.04099
0.03511  0.03621
0.02447  0.03103
0.01571  0.02550
0.00886  0.01967
0.00394  0.01351
0.00099  0.00697
0.00000  0.00000
0.00099 -0.00628
0.00394 -0.01293
0.00886 -0.01981
0.01571 -0.02672
0.02447 -0.03347
0.03511 -0.03993
0.04759 -0.04598
0.06185 -0.05162
0.07784 -0.05685
0.09549 -0.06165
0.11474 -0.06598
0.13552 -0.06973
0.15773 -0.07281
0.18129 -0.07518
0.20611 -0.07691
0.23209 -0.07809
0.25912 -0.07856
0.28711 -0.07828
0.31594 -0.07744
0.34549 -0.07601
0.37566 -0.07405
0.40631 -0.07161
0.43733 -0.06877
0.46860 -0.06560
0.50000 -0.06217
0.53139 -0.05856
0.56267 -0.05483
0.59369 -0.05104
0.62435 -0.04724
0.65451 -0.04346
0.68406 -0.03974
0.71289 -0.03611
0.74088 -0.03260
0.76791 -0.02922
0.79389 -0.02601
0.81871 -0.02298
0.84227 -0.02016
0.86448 -0.01757
0.88526 -0.01523
0.90451 -0.01313
0.92216 -0.01131
0.93815 -0.00974
0.95241 -0.00843
0.96489 -0.00737
0.97553 -0.00652
0.98429 -0.00587
0.99114 -0.00540
0.99606 -0.00508
0.99901 -0.00490
1.00000 -0.00484
