OAF117 AIRFOIL
1.00000  0.00493
0.99901  0.00500
0.99606  0.00521
0.99114  0.00558
0.98429  0.00611
0.97553  0.00683
0.96489  0.00775
0.95241  0.00890
0.93815  0.01029
0.92216  0.01193
0.90451  0.01383
0.88526  0.01599
0.86448  0.01839
0.84227  0.02102
0.81871  0.02387
0.79389  0.02691
0.76791  0.03012
0.74088  0.03346
0.71289  0.03692
0.68406  0.04045
0.65451  0.04403
0.62435  0.04763
0.59369  0.05120
0.56267  0.05470
0.53139  0.05809
0.50000  0.06130
0.46860  0.06430
0.43733  0.06700
0.40631  0.06935
0.37566  0.07130
0.34549  0.07278
0.31594  0.07375
0.28711  0.07418
0.25912  0.07394
0.23209  0.07329
0.20611  0.07193
0.18129  0.06989
0.15773  0.06730
0.13552  0.06420
0.11474  0.06060
0.09549  0.05651
0.07784  0.05194
0.06185  0.04696
0.04759  0.04167
0.03511  0.03617
0.02447  0.03054
0.01571  0.02480
0.00886  0.01895
0.00394  0.01291
0.00099  0.00662
0.00000  0.00000
0.00099 -0.00522
0.00394 -0.01042
0.00886 -0.01544
0.01571 -0.02012
0.02447 -0.02435
0.03511 -0.02812
0.04759 -0.03150
0.06185 -0.03455
0.07784 -0.03720
0.09549 -0.03933
0.11474 -0.04085
0.13552 -0.04186
0.15773 -0.04255
0.18129 -0.04250
0.20611 -0.04218
0.23209 -0.04139
0.25912 -0.04016
0.28711 -0.03853
0.31594 -0.03656
0.34549 -0.03430
0.37566 -0.03182
0.40631 -0.02920
0.43733 -0.02650
0.46860 -0.02379
0.50000 -0.02112
0.53139 -0.01854
0.56267 -0.01609
0.59369 -0.01379
0.62435 -0.01167
0.65451 -0.00975
0.68406 -0.00802
0.71289 -0.00650
0.74088 -0.00519
0.76791 -0.00408
0.79389 -0.00318
0.81871 -0.00249
0.84227 -0.00200
0.86448 -0.00171
0.88526 -0.00160
0.90451 -0.00166
0.92216 -0.00186
0.93815 -0.00220
0.95241 -0.00262
0.96489 -0.00309
0.97553 -0.00358
0.98429 -0.00405
0.99114 -0.00446
0.99606 -0.00477
0.99901 -0.00497
1.00000 -0.00504
