NASA NLF(1)-1015
      33.0      29.0

 0.0000800 0.0011700
 0.0039800 0.0095700
 0.0124100 0.0193800
 0.0252100 0.0299500
 0.0422600 0.0408500
 0.0634300 0.0517900
 0.0885500 0.0624900
 0.1174000 0.0727300
 0.1497400 0.0823200
 0.1852700 0.0911000
 0.2236400 0.0989200
 0.2644900 0.1056400
 0.3074100 0.1111500
 0.3519600 0.1153500
 0.3977100 0.1181500
 0.4441600 0.1194700
 0.4908500 0.1192200
 0.5372600 0.1172700
 0.5829900 0.1133700
 0.6279900 0.1073200
 0.6723600 0.0993300
 0.7158900 0.0900000
 0.7581200 0.0798100
 0.7985300 0.0691500
 0.8365900 0.0584000
 0.8717700 0.0478800
 0.9035000 0.0378800
 0.9312500 0.0286500
 0.9544600 0.0202300
 0.9729800 0.0124800
 0.9871200 0.0058300
 0.9965700 0.0014600
 1.0000000 0.0000000

 0.0000800 0.0011700
 0.0020800 -.0053500
 0.0105300 -.0108800
 0.0245600 -.0160800
 0.0438900 -.0207100
 0.0682800 -.0246600
 0.0974900 -.0279100
 0.1311900 -.0304600
 0.1690300 -.0323000
 0.2105600 -.0334600
 0.2552900 -.0339700
 0.3027000 -.0338400
 0.3522100 -.0330600
 0.4031900 -.0316000
 0.4550100 -.0294100
 0.5069900 -.0262000
 0.5589500 -.0215000
 0.6111900 -.0154900
 0.6635200 -.0089500
 0.7152900 -.0025600
 0.7657600 0.0031100
 0.8140500 0.0075500
 0.8591300 0.0103500
 0.8998700 0.0112700
 0.9351000 0.0103200
 0.9636300 0.0077200
 0.9842200 0.0041600
 0.9961700 0.0011400
 1.0000000 0.0000000
